,gameId,playId,nflId,displayName,frameId,time,jerseyNumber,club,playDirection,x,y,s,a,dis,o,dir,event,play_uuid,converted
0,2022100600,1069,38540.0,Stephon Gilmore,6,2022-10-06 20:58:22.400000,5.0,IND,left,38.44,14.13,0.05,0.05,0.0,37.15,272.3,ball_snap,2022100600.1069,True
1,2022100600,1069,38605.0,Russell Wilson,6,2022-10-06 20:58:22.400000,3.0,DEN,left,45.2,23.77,0.0,0.0,0.01,272.11,354.59,ball_snap,2022100600.1069,True
2,2022100600,1069,38843.0,Rodney McLeod,6,2022-10-06 20:58:22.400000,26.0,IND,left,40.6,18.62,0.01,0.01,0.0,76.12,96.1,ball_snap,2022100600.1069,True
3,2022100600,1069,41369.0,Cameron Fleming,6,2022-10-06 20:58:22.400000,73.0,DEN,left,45.05,26.58,0.56,1.91,0.06,273.86,214.51,ball_snap,2022100600.1069,True
4,2022100600,1069,42358.0,Melvin Gordon,6,2022-10-06 20:58:22.400000,25.0,DEN,left,49.91,23.79,0.11,0.63,0.01,261.38,256.08,ball_snap,2022100600.1069,True
5,2022100600,1069,42721.0,Eric Tomlinson,6,2022-10-06 20:58:22.400000,87.0,DEN,left,45.18,28.11,0.02,0.23,0.0,250.43,227.25,ball_snap,2022100600.1069,True
6,2022100600,1069,43296.0,DeForest Buckner,6,2022-10-06 20:58:22.400000,99.0,IND,left,43.53,25.9,0.36,1.25,0.03,82.8,107.26,ball_snap,2022100600.1069,True
7,2022100600,1069,43384.0,Graham Glasgow,6,2022-10-06 20:58:22.400000,61.0,DEN,left,44.91,25.29,0.46,1.55,0.04,269.08,255.73,ball_snap,2022100600.1069,True
8,2022100600,1069,44832.0,Garett Bolles,6,2022-10-06 20:58:22.400000,72.0,DEN,left,45.04,21.04,0.06,0.33,0.01,350.51,292.83,ball_snap,2022100600.1069,True
9,2022100600,1069,44957.0,Grover Stewart,6,2022-10-06 20:58:22.400000,90.0,IND,left,43.4,23.09,0.44,2.18,0.05,81.76,4.25,ball_snap,2022100600.1069,True
10,2022100600,1069,44987.0,Eric Saubert,6,2022-10-06 20:58:22.400000,82.0,DEN,left,44.99,19.73,0.0,0.0,0.02,303.58,180.58,ball_snap,2022100600.1069,True
11,2022100600,1069,45033.0,Ifeadi Odenigbo,6,2022-10-06 20:58:22.400000,59.0,IND,left,43.19,29.32,0.24,1.25,0.02,134.7,111.69,ball_snap,2022100600.1069,True
12,2022100600,1069,45287.0,Kenny Moore,6,2022-10-06 20:58:22.400000,23.0,IND,left,37.4,36.64,0.11,0.2,0.01,119.54,353.14,ball_snap,2022100600.1069,True
13,2022100600,1069,46304.0,Zaire Franklin,6,2022-10-06 20:58:22.400000,44.0,IND,left,40.45,24.8,0.44,1.63,0.04,87.89,136.08,ball_snap,2022100600.1069,True
14,2022100600,1069,47824.0,Dalton Risner,6,2022-10-06 20:58:22.400000,66.0,DEN,left,44.8,22.55,0.27,1.08,0.03,296.76,320.4,ball_snap,2022100600.1069,True
15,2022100600,1069,47872.0,Bobby Okereke,6,2022-10-06 20:58:22.400000,58.0,IND,left,40.33,21.95,0.82,0.6,0.08,102.63,97.55,ball_snap,2022100600.1069,True
16,2022100600,1069,47947.0,E.J. Speed,6,2022-10-06 20:58:22.400000,45.0,IND,left,40.44,28.3,0.07,0.31,0.01,98.81,81.74,ball_snap,2022100600.1069,True
17,2022100600,1069,52423.0,Jerry Jeudy,6,2022-10-06 20:58:22.400000,10.0,DEN,left,45.66,34.01,0.02,0.3,0.01,259.97,226.12,ball_snap,2022100600.1069,True
18,2022100600,1069,52491.0,Lloyd Cushenberry,6,2022-10-06 20:58:22.400000,79.0,DEN,left,44.48,23.76,0.27,0.91,0.03,268.37,211.41,ball_snap,2022100600.1069,True
19,2022100600,1069,52660.0,Tyrie Cleveland,6,2022-10-06 20:58:22.400000,16.0,DEN,left,45.99,17.32,0.06,0.35,0.01,254.1,307.34,ball_snap,2022100600.1069,True
20,2022100600,1069,53450.0,Kwity Paye,6,2022-10-06 20:58:22.400000,51.0,IND,left,43.2,21.04,0.22,0.95,0.04,84.7,37.4,ball_snap,2022100600.1069,True
21,2022100600,1069,54704.0,Rodney Thomas,6,2022-10-06 20:58:22.400000,25.0,IND,left,28.99,29.22,0.8,1.09,0.08,134.79,288.03,ball_snap,2022100600.1069,True
22,2022100600,1069,,football,6,2022-10-06 20:58:22.400000,,football,left,44.1399993896484,23.75,0.0,0.0,0.0,,,ball_snap,2022100600.1069,True
23,2022100600,4703,38540.0,Stephon Gilmore,6,2022-10-06 23:41:50.700000,5.0,IND,left,13.16,9.39,0.73,1.28,0.09,63.49,283.87,ball_snap,2022100600.4703,False
24,2022100600,4703,38605.0,Russell Wilson,6,2022-10-06 23:41:50.700000,3.0,DEN,left,20.51,27.62,0.0,0.0,0.01,261.03,242.43,ball_snap,2022100600.4703,False
25,2022100600,4703,38843.0,Rodney McLeod,6,2022-10-06 23:41:50.700000,26.0,IND,left,13.31,33.07,0.71,0.69,0.07,100.72,71.49,ball_snap,2022100600.4703,False
26,2022100600,4703,41369.0,Cameron Fleming,6,2022-10-06 23:41:50.700000,73.0,DEN,left,17.21,30.41,0.62,2.04,0.06,266.98,224.17,ball_snap,2022100600.4703,False
27,2022100600,4703,42358.0,Melvin Gordon,6,2022-10-06 23:41:50.700000,25.0,DEN,left,20.94,29.6,0.34,1.27,0.03,253.64,197.84,ball_snap,2022100600.4703,False
28,2022100600,4703,42721.0,Eric Tomlinson,6,2022-10-06 23:41:50.700000,87.0,DEN,left,17.35,31.69,0.0,0.0,0.02,270.33,171.2,ball_snap,2022100600.4703,False
29,2022100600,4703,43296.0,DeForest Buckner,6,2022-10-06 23:41:50.700000,99.0,IND,left,15.46,29.74,0.23,0.76,0.03,74.71,134.05,ball_snap,2022100600.4703,False
30,2022100600,4703,43358.0,Yannick Ngakoue,6,2022-10-06 23:41:50.700000,91.0,IND,left,15.43,22.46,0.23,0.85,0.03,84.36,69.67,ball_snap,2022100600.4703,False
31,2022100600,4703,43384.0,Graham Glasgow,6,2022-10-06 23:41:50.700000,61.0,DEN,left,16.94,29.21,0.78,2.04,0.07,276.39,233.93,ball_snap,2022100600.4703,False
32,2022100600,4703,44987.0,Eric Saubert,6,2022-10-06 23:41:50.700000,82.0,DEN,left,17.86,32.85,0.22,2.65,0.03,160.13,220.88,ball_snap,2022100600.4703,False
33,2022100600,4703,45287.0,Kenny Moore,6,2022-10-06 23:41:50.700000,23.0,IND,left,13.76,16.9,0.14,0.13,0.02,35.75,55.99,ball_snap,2022100600.4703,False
34,2022100600,4703,46109.0,Courtland Sutton,6,2022-10-06 23:41:50.700000,14.0,DEN,left,16.55,8.92,0.0,0.05,0.0,275.32,172.45,ball_snap,2022100600.4703,False
35,2022100600,4703,46304.0,Zaire Franklin,6,2022-10-06 23:41:50.700000,44.0,IND,left,11.92,26.19,0.6,0.54,0.06,86.76,178.49,ball_snap,2022100600.4703,False
36,2022100600,4703,47824.0,Dalton Risner,6,2022-10-06 23:41:50.700000,66.0,DEN,left,16.97,26.46,0.13,1.06,0.01,263.44,253.88,ball_snap,2022100600.4703,False
37,2022100600,4703,47832.0,Ben Banogu,6,2022-10-06 23:41:50.700000,52.0,IND,left,15.19,31.84,0.13,0.8,0.02,71.06,171.43,ball_snap,2022100600.4703,False
